"task","bones_activated","bones_deactivated","diff_activated_minus_deactivated"
750,-2.549,-2.58,0.0309999999999988
213,-0.815000000000005,-0.845000000000013,0.0300000000000082
742,-5.785,-5.815,0.029999999999994
806,-10.768,-10.798,0.029999999999994
97,-3.18299999999999,-3.211,0.0280000000000129
345,-0.373999999999988,-0.402000000000001,0.0280000000000129
967,-7.156,-7.18400000000001,0.0280000000000129
558,-6.022,-6.05000000000001,0.0280000000000058
753,-2.60700000000001,-2.635,0.0279999999999987
1002,-3.85700000000001,-3.885,0.0279999999999987
994,-7.40399999999999,-7.43100000000001,0.0270000000000223
656,1.368,1.34099999999999,0.0270000000000152
495,-2.953,-2.97800000000001,0.0250000000000128
90,-10.388,-10.413,0.0249999999999986
738,-7.049,-7.074,0.0249999999999986
82,-15.853,-15.877,0.0240000000000364
594,-16.172,-16.196,0.0240000000000222
873,-3.987,-4.01100000000001,0.024000000000008
170,-5.33800000000001,-5.362,0.0239999999999938
338,-16.719,-16.743,0.0239999999999938
86,-12.467,-12.49,0.0230000000000317
94,-8.18999999999999,-8.21300000000001,0.0230000000000175
858,-9.91299999999999,-9.93600000000001,0.0230000000000175
496,1.07700000000001,1.054,0.0230000000000032
582,-9.308,-9.331,0.0230000000000032
890,-10.237,-10.26,0.022999999999989
598,-12.537,-12.559,0.0220000000000269
95,-5.874,-5.89600000000002,0.0220000000000127
231,-5.12399999999999,-5.146,0.0220000000000127
639,-6.311,-6.33300000000001,0.0220000000000127
810,-7.901,-7.923,0.0220000000000056
83,-13.564,-13.585,0.0210000000000221
238,-1.935,-1.95600000000002,0.0210000000000221
607,-6.08499999999999,-6.10600000000001,0.0210000000000221
735,-3.48099999999999,-3.50200000000001,0.0210000000000221
84,0.254000000000012,0.233000000000004,0.0210000000000079
230,-5.135,-5.15600000000001,0.0210000000000079
343,-11.39,-11.411,0.0210000000000079
347,-8.257,-8.27800000000001,0.0210000000000079
350,-8.43500000000001,-8.45600000000002,0.0210000000000079
602,-10.039,-10.06,0.0210000000000079
850,-15.94,-15.961,0.0210000000000079
851,-14.494,-14.515,0.0210000000000079
862,-7.891,-7.91200000000001,0.0210000000000079
635,-8.133,-8.154,0.0209999999999937
854,-12.382,-12.403,0.0209999999999937
70,-8.67999999999999,-8.7,0.0200000000000173
162,-9.403,-9.42300000000002,0.0200000000000173
208,3.55100000000001,3.53099999999999,0.0200000000000173
330,-6.833,-6.85300000000002,0.0200000000000173
501,-2.311,-2.33100000000002,0.0200000000000173
855,-11.255,-11.275,0.0200000000000173
